recipe_id,title,description,ingredients,cooking_time,servings,meal_type,category,dietary_preference,meal_goal,difficulty_level,cuisine_type,steps,calories,protein,carbs,fats,rating,allergens,health_benefits,image_url
1,Momo (Chicken),Juicy steamed dumplings with spicy sauce,"All-purpose flour; Water; Ground chicken; Onion; Garlic; Ginger; Cilantro; Momo masala; Tomatoes; Sesame seeds; Chili",45,4,Dinner,Traditional,Non-Veg,Balanced Diet,Intermediate,Nepali,"Knead dough and let rest for 30 mins; Mix filling with chicken, onions, garlic, ginger; Fill and shape dumplings; Steam for 10-12 minutes; Blend tomatoes, sesame, chili for sauce",280,18,35,8,4.5,"Gluten; Sesame",High in protein,/images/momo.jpg
2,Dal Bhat Tarkari,Lentil soup with rice and vegetables,"Yellow lentils; Turmeric; Salt; Basmati rice; Potatoes; Cauliflower; Tomatoes; Cumin; Coriander",40,4,Lunch,Traditional,Veg,Balanced Diet,Beginner,Nepali,"Pressure cook lentils with turmeric for 15 mins; Cook rice separately; Saute cumin in oil; Add vegetables and cook; Serve together",450,15,85,6,4.7,None,Complete nutrition,/images/dal_bhat.jpg
3,Sel Roti,Sweet ring-shaped rice doughnut,"Rice flour; Sugar; Mashed banana; Ghee; Cardamom; Oil for frying",60,6,Breakfast,Dessert,Veg,Balanced Diet,Intermediate,Nepali,"Soak rice overnight and grind into smooth batter; Add sugar, banana, cardamom; Ferment for 2 hours; Pour batter in ring shape into hot oil; Fry until golden brown",220,2,38,7,4.3,"Gluten",Traditional sweet,/images/sel_roti.jpg
4,Aloo Tama,Curry with bamboo shoots and potatoes,"Potatoes; Fermented bamboo shoots; Onion; Garlic; Ginger; Turmeric; Cilantro",35,4,Dinner,Traditional,Veg,Weight Loss,Intermediate,Nepali,"Boil bamboo shoots to reduce sourness; Saute onion, garlic, ginger; Add turmeric and potatoes; Cook until tender; Garnish with cilantro",180,5,32,4,4.4,None,Low calorie,/images/aloo_tama.jpg
5,Chicken Biryani,Fragrant rice with spiced chicken,"Basmati rice; Chicken; Yogurt; Biryani spices; Saffron; Fried onions; Mint; Ghee",75,4,Dinner,Traditional,Non-Veg,Balanced Diet,Advanced,Indian,"Marinate chicken in yogurt and spices for 2 hours; Parboil rice with whole spices; Layer rice and chicken; Sprinkle saffron milk and fried onions; Dum cook for 30 mins on low heat",380,28,50,12,4.8,"Milk",Rich in protein,/images/chicken_biryani.jpg
6,Vegetable Momos,Steamed vegetable dumplings,"All-purpose flour; Cabbage; Carrots; Onions; Garlic; Ginger; Soy sauce",40,4,Snack,Traditional,Veg,Weight Loss,Intermediate,Nepali,"Make dough and rest; Finely chop vegetables; Season with soy sauce and spices; Fill and shape momos; Steam for 12 minutes",200,6,30,5,4.6,"Gluten; Soy",Low fat,/images/veg_momo.jpg
7,Butter Chicken,Rich creamy tomato chicken curry,"Chicken; Butter; Cream; Tomatoes; Cashews; Garam masala; Kasuri methi",45,4,Dinner,Traditional,Non-Veg,Muscle Gain,Intermediate,Indian,"Marinate chicken in yogurt overnight; Grill chicken until charred; Make tomato-cashew gravy; Add butter and cream; Simmer chicken in gravy; Finish with kasuri methi",380,30,12,22,4.9,"Milk; Nuts",High protein,/images/butter_chicken.jpg
8,Thukpa,Hearty Tibetan noodle soup,"Wheat noodles; Chicken; Mixed vegetables; Garlic; Ginger; Stock; Soy sauce",30,4,Dinner,Soup,Non-Veg,Balanced Diet,Beginner,Nepali,"Boil chicken stock with garlic and ginger; Cook noodles separately; Add vegetables to stock; Shred cooked chicken; Assemble bowls with noodles, broth, chicken",320,20,40,9,4.5,"Gluten; Soy",Warming soup,/images/thukpa.jpg
9,Paneer Tikka,Grilled cottage cheese cubes,"Paneer; Yogurt; Tikka masala; Bell peppers; Onions; Lemon",35,4,Snack,Traditional,Veg,Muscle Gain,Intermediate,Indian,"Cut paneer into cubes; Marinate in yogurt and spices for 1 hour; Skewer with vegetables; Grill or bake at 200C for 15 mins; Serve with chutney",280,18,10,18,4.7,"Milk",High protein vegetarian,/images/paneer_tikka.jpg
10,Chatamari,Nepali rice crepe pizza,"Rice flour; Water; Minced meat; Egg; Onions; Cilantro; Spices",25,2,Breakfast,Traditional,Non-Veg,Balanced Diet,Intermediate,Nepali,"Make thin rice batter; Heat griddle and pour batter; While cooking, add minced meat and egg on top; Cook until crispy; Garnish with onions and cilantro",220,12,28,8,4.4,"Eggs",Light meal,/images/chatamari.jpg
11,Palak Paneer,Spinach curry with cottage cheese,"Fresh spinach; Paneer; Cream; Onion; Tomatoes; Garlic; Ginger; Garam masala",40,4,Dinner,Traditional,Veg,Muscle Gain,Intermediate,Indian,"Blanch spinach and puree; Saute onions, garlic, ginger; Add tomatoes and cook; Mix spinach puree; Add cubed paneer and cream; Simmer for 5 mins",280,20,12,18,4.6,"Milk",Iron rich,/images/palak_paneer.jpg
12,Chicken Chow Mein,Stir-fried noodles with chicken,"Noodles; Chicken breast; Cabbage; Carrots; Bell peppers; Soy sauce; Oyster sauce",25,2,Dinner,Fast Food,Non-Veg,Balanced Diet,Beginner,Chinese,"Boil noodles until al dente; Stir-fry chicken strips; Add vegetables and cook; Toss in noodles; Add sauces and mix well",350,25,42,10,4.5,"Gluten; Soy",Quick meal,/images/chow_mein.jpg
13,Samosa,Crispy triangular pastry,"Flour; Potatoes; Peas; Spices; Oil for frying",50,8,Snack,Traditional,Veg,Balanced Diet,Intermediate,Indian,"Make dough and rest; Boil and mash potatoes; Mix with peas and spices; Roll dough and fill; Shape into triangles; Deep fry until golden",150,4,20,7,4.7,"Gluten",Popular snack,/images/samosa.jpg
14,Sekuwa,Grilled marinated meat skewers,"Chicken or goat; Mustard oil; Spices; Garlic; Ginger; Puffed rice",40,4,Dinner,Traditional,Non-Veg,Muscle Gain,Intermediate,Nepali,"Cut meat into cubes; Marinate with mustard oil and spices for 4 hours; Skewer meat pieces; Grill over charcoal; Serve with puffed rice and pickle",250,28,5,12,4.8,None,High protein grilled,/images/sekuwa.jpg
15,Vegetable Biryani,Fragrant rice with mixed vegetables,"Basmati rice; Mixed vegetables; Yogurt; Biryani spices; Saffron; Fried onions",60,4,Dinner,Traditional,Veg,Balanced Diet,Intermediate,Indian,"Parboil rice with spices; Cook vegetables separately; Layer rice and vegetables; Add saffron milk and fried onions; Dum cook for 25 mins",320,10,60,8,4.5,"Milk",Aromatic and filling,/images/veg_biryani.jpg
